AniNum,BmdGcm2,LG,LGLength,LgAvOfl,MG,MGLength,MgAvOfl,PerFat,avLgFl,avMa,avMgFl,avRvO2,fMaxLg,fMaxLgT,fMaxMg,fMaxMgT,femur,femurN,group,mass,maxFAlongTendonLG,maxFAlongTendonMG,maxJump,maxPower,mtuLengLG,mtuLengMG,nLgFl,nMgFl,optPenAngLg,optPenAngMg,sumExtensors,tendonCrossAv,tendonCrossMin,tendonE,tendonK,tendonSampleLength,tendonSlackLengthLGmm,tendonSlackLengthMGmm,tibia,tibiaN,tmt,tmtN,toe,toeN
751,0.156,12.09,95.7733386583141,0.277696741898093,12.69,125.862052027416,0.298010537199282,11.8,29.0476468294351,0.852887245994825,34.3046550997807,114.776246157058,123.217078091007,119.320593371132,120.51618938429,118.476313264257,86.6333333333333,1.07856652341706,B,1.8,123.215884846778,120.515566242137,6.21885373996856,378.057779849615,155.451482424187,183.327576652539,1.0460204405313,1.15112221944156,0.252154776366972,0.184250505100591,137.54,5.05828587096774,2.76852167,481704419.211936,67289.7759945567,36,124.978564569727,146.801323383259,130.533333333333,1.12848501126409,81.8,1.08788709843489,60.8333333333333,0.996005081958939
752,0.148,10,140.778630348912,0.268525751973512,12.18,110.931372773546,0.290484463258151,11.6,26.8160323795624,0.885289860852013,30.065073861359,116.955999911479,105.397290890911,99.554743533311,118.669679357594,117.584989393915,90.8333333333333,1.13085562766891,B,1.81,105.395494463927,118.669348437704,7.68790915818253,468.85822357333,165.505720219123,179.30246610587,0.998639131721251,1.03499765612733,0.334524790980013,0.135309809499105,130.06,4.938308787,3.07745502,383988345.60705,54787.6013655632,36.8333333333333,137.686583356109,146.834378774456,132.166666666667,1.14260548254906,80.6333333333333,1.07237118627303,60.3666666666667,0.988364495028843
757,0.146,7.45,124.319740472616,0.335771563948512,9.93,117.340554807462,0.251513139940899,9.3,31.5760241978553,0.838059633308413,27.9304842178401,,62.7953880680931,60.5236716893404,111.738788643446,110.395994502396,88.2,1.09807118928878,B,1.42,62.7946918518915,111.738378783321,9.76215451753327,432.538096371703,149.594496937458,165.995964549056,0.940401975275585,1.11049801312183,0.269802655541648,0.155186385435802,106.88,4.11016815733333,2.524372,506697792.312486,49060.9875738177,41.6666666666667,117.190778717715,135.876344091183,115.3,0.996790003565494,72.6,0.965533048244172,53.7333333333333,0.879759009379622
758,0.146,8.61,127.125083195971,0.224900647361482,10.21,124.448272885826,0.343381632337115,9.5,25.2741548045278,0.900933744715038,36.3846188314344,81.1172602121292,108.349730488483,103.35937479111,84.1519280411758,83.3830613868702,85.2,1.06072182910889,B,1.56,108.348198528203,84.1516934735874,5.51633990138698,232.236936047635,158.08521107031,180.206804789886,1.12379199886894,1.05959711891968,0.304682827189676,0.135281900909074,115.38,4.38090685444444,2.2362835375,424804839.249441,47460.5426862329,39,131.349207240695,141.554288302381,122.866666666667,1.06220524808974,73.5,0.977502466197612,57.1,0.934880386518172
760,0.138,7.99,131.669804235597,0.208467515841132,11.21,117.978814809419,0.306353732023895,13,21.6280728877028,0.936522814776602,31.4367493256087,88.4949705607642,108.473531024386,100.900103666012,103.56137947053,102.312385483248,85.7666666666667,1.06777670825398,E,1.69,108.471196678473,103.560998238207,8.36252868852044,353.811037419263,151.808599925764,167.837097093318,1.03747928306418,1.02615852328369,0.375888575581199,0.155465385414189,111.64,4.911483039375,2.52435037,392352033.373703,51281.125785297,37,129.238932971703,134.327350622832,119.8,1.03569334282,73.6333333333333,0.979275713301825,56.0666666666667,0.917961944030102
761,0.146,11.96,154.527536787919,0.283624018869407,8.77,130.20767678607,0.346200502060588,10.3,27.9526835715446,1.01124020069297,39.9101217036541,107.511548718611,119.344816911854,115.986350719521,71.6947392313062,69.8319310035162,85.8333333333333,1.06860669403576,E,1.68,119.343789031448,71.6941693137884,8.79861131847963,509.912401532367,161.511781949174,188.149586318457,0.985554174254026,1.15280369225662,0.237797592964051,0.228454794207889,126.82,5.72698994766667,3.1712625,244533556.997912,36986.9769217046,37.6666666666667,131.978878280868,146.36619858255,123.133333333333,1.06451063115667,78.5666666666667,1.04488585615772,60.2333333333333,0.986181470191673
762,0.156,9.1,129.176480231156,0.208491664201234,11.53,118.89831438584,0.246494969087562,10.8,23.0872389617192,0.937875763475512,26.0140471629984,81.022588002805,123.528761112837,115.006476260302,132.384346798195,128.834720297818,79.8,0.993492980785091,E,1.58,123.526134673853,132.383260654706,10.6720738006841,1177.79391920003,158.384511556457,174.634547241359,1.10734590038264,1.05535813811102,0.373626795214826,0.232093624281872,120.48,4.49929559480769,1.67464229,466209053.150423,69302.813502631,30.1666666666667,134.157599068371,146.590820424337,114.333333333333,0.988432989947859,68.9333333333333,0.916768752878305,54.0333333333333,0.884670815263255
765,0.168,7.49,136.268356689373,0.297282470806653,9.99,131.922110086627,0.305965936261681,12.1,19.9128145138985,0.916219630002612,30.4155261288901,85.8960817565648,71.3063005364149,69.8472914824128,92.4076230547413,90.8837402568548,85.8333333333333,1.06860669403576,E,1.49,71.3058545733575,92.4071575723979,9.02772379795623,336.780947623834,163.654544281571,185.588914959623,0.66982807495735,0.994082102750057,0.202639145790338,0.181859301590349,114.88,4.87574980275862,1.89139637,351525213.415911,43487.7764855281,38.8333333333333,142.088290072988,152.911468047418,120.133333333333,1.03857507165367,74.5,0.990801819479212,57.3666666666667,0.939246436192512
766,0.146,8.71,136.789200457536,0.186954430756652,12.31,135.735748162366,0.258190795398653,10.8,20.4074677115027,0.961244997930072,28.9654385436167,,131.855357995303,125.916555613262,134.937508472044,131.831813989878,88.7666666666667,1.10512606843387,E,1.69,131.853535191222,134.936558773068,8.69483652718032,583.308668686493,169.758404021754,190.168334933339,1.09157443495233,1.1218617805059,0.301272322558536,0.214963401868312,980.04,5.22632838948276,2.69576168,477895434.493661,60916.4120293984,40.6666666666667,147.448840520589,158.854143589428,125.866666666667,1.08814080759274,83.2,1.10650619302913,68.3333333333333,1.11880022904977
770,0.145,9.66,138.59391173196,0.274886806963268,14.11,124.152390205359,0.276567832945215,11.1,21.44381187046,0.90752982832784,30.3226024310986,NaN,99.4577475126434,96.8405709313138,144.391203557145,139.862226603937,89.1333333333333,1.10969099023364,E,1.93,99.4569467549167,144.389816681032,7.25538277353121,511.998221684688,168.831505944151,191.191369508534,0.780096073265729,1.09638934174623,0.229915992501069,0.251122972695268,152.26,4.55722552677419,2.70030779,500175972.50899,57344.6034745099,39.5,145.684510322641,158.78197652796,128.966666666667,1.11494088574585,82.8,1.10118645171649,62.5,1.02329289242357
